"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0DKTH64QZ-CRM-PR-670-G3770-GREY","","","Eligible","1693.32","7.24","0.2000","7028","35","0.0050","233.92","6.68","7","0.1381","1","0.1429","244.76","0.1445","250"
"B0GQMQ52K3-CRM-STB-MT-BLUE-PACK-5","","","Eligible","0.00","0.00","0.0000","3536","24","0.0068","233.50","9.73","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GQML2S98-CRM-STB-FT-BLUE-PACK-5","","","Eligible","0.00","0.00","0.0000","5378","23","0.0043","219.55","9.55","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BFB324WC-Bajaj_1","","","Eligible","2480.97","12.17","0.1698","6375","53","0.0083","203.81","3.85","9","0.0822","0","0.0000","0.00","0.0000","302"
"B0BQMXRGYR-CRM_AP_GREEN_PACK OF 3","","","Eligible","2376.20","12.02","0.0625","3677","16","0.0044","197.67","12.35","1","0.0832","0","0.0000","0.00","0.0000","73"
"B0GK9BZV9D-CRM-PR-G4770-4123-Grey","","","Eligible","1971.43","10.31","0.3200","6199","25","0.0040","191.29","7.65","8","0.0970","3","0.3750","739.05","0.3749","742"
"B0BFB31MWV-Ultra_1","","","Eligible","1439.04","7.73","0.1224","21083","49","0.0023","186.09","3.80","6","0.1293","2","0.3333","473.33","0.3289","831"
"B0DVPQ48NW-CRM-PR-G4770-NW-GREY","","","Eligible","269.52","1.45","0.0303","14720","33","0.0022","185.27","5.61","1","0.6874","0","0.0000","0.00","0.0000","310"
"B0DM1PCFD9-CRM-BR-580-T226-NW-GREY","","","Eligible","1217.14","6.82","0.1190","17297","42","0.0024","178.59","4.25","5","0.1467","0","0.0000","0.00","0.0000","146"
"B0CQC2FSMM-CRM-HP-750-Black","","","Eligible","763.81","4.66","0.1765","10074","17","0.0017","163.99","9.65","3","0.2147","1","0.3333","246.66","0.3229","3193"
"B0GPF39X1W-CRM-STB-MT-BLUE-PACK-2","","","Eligible","1523.72","9.52","0.1053","1860","19","0.0102","160.04","8.42","2","0.1050","0","0.0000","0.00","0.0000","0"
"B0GQGPMQ4V-CRM-CSTB1-Black-2Q","","","Eligible","0.00","0.00","0.0000","1380","18","0.0130","141.81","7.88","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CY834BP1-CRM-HP-4826-Grey-1","","","Eligible","1032.39","7.66","0.1481","8527","27","0.0032","134.83","4.99","4","0.1306","2","0.5000","491.43","0.4760","591"
"B0CH3JHFC4-CRM_NW_BLACK_DC_PACK OF 5","","","Eligible","1255.24","9.58","0.0952","7502","21","0.0028","131.01","6.24","2","0.1044","0","0.0000","0.00","0.0000","0"
"B0C9X4MBQ3-CP-BLACK-1","","","Eligible","0.00","0.00","0.0000","21775","55","0.0025","119.23","2.17","0","0.0000","0","0.0000","0.00","0.0000","15657"
"B0CH3JNFVV-CRM_NW_BLACK_DC_PACK OF 2","","","Eligible","246.67","2.11","0.0476","6272","21","0.0033","116.70","5.56","1","0.4731","0","0.0000","0.00","0.0000","0"
"B0C9X542SL-CP-BLACK-1-PACK OF 2","","","Eligible","0.00","0.00","0.0000","17146","55","0.0032","112.82","2.05","0","0.0000","0","0.0000","0.00","0.0000","12136"
"B0CH112ZPG-CRM_AP_GREEN","","","Eligible","246.67","2.22","0.0833","6865","12","0.0017","111.30","9.28","1","0.4512","0","0.0000","0.00","0.0000","513"
"B0BQMV2D6H-CRM_AP_RED_PACK OF 2","","","Eligible","1063.81","9.88","0.2500","3383","12","0.0035","107.62","8.97","3","0.1012","0","0.0000","0.00","0.0000","258"
"B0CH3F8952-CRM_NW_GREY_DC_PACK OF 2","","","Eligible","1703.80","16.20","0.3529","6955","17","0.0024","105.19","6.19","6","0.0617","0","0.0000","0.00","0.0000","0"
"B0BF5VTWVT-Apron_Grey","","","Eligible","246.67","2.52","0.0769","5477","13","0.0024","97.86","7.53","1","0.3967","0","0.0000","0.00","0.0000","170"
"B0BFB324WC-Bajaj_2","","","Eligible","235.24","2.62","0.0455","3512","22","0.0063","89.82","4.08","1","0.3818","1","1.0000","235.24","1.0000","152"
"B0BQMY6L2B-CRM_AP_BLUE_PACK OF 2","","","Eligible","360.95","4.23","0.1111","2961","9","0.0030","85.36","9.48","1","0.2365","0","0.0000","0.00","0.0000","291"
"B0FS6JSFCS-CRM-Cube2-Blue-Pack4","","","Eligible","0.00","0.00","0.0000","3731","12","0.0032","82.74","6.89","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CTFBJR4V-CRM-EP-L3110-NW-GREY","","","Eligible","739.05","9.10","0.2143","3090","14","0.0045","81.25","5.80","3","0.1099","1","0.3333","245.71","0.3325","824"
"B0CV16PGBY-CRM-WG-NW-Butterfly-Black","","","Eligible","235.24","3.00","0.0526","9740","19","0.0020","78.38","4.13","1","0.3332","0","0.0000","0.00","0.0000","587"
"B0FTM35K6D-CRM-PR-4826-MG3070S-Black","","","Eligible","736.20","10.65","0.3333","2779","9","0.0032","69.11","7.68","3","0.0939","2","0.6667","493.34","0.6701","152"
"B0CQC8R7PD-CRM-HP-670-Black","","","Eligible","256.19","4.21","0.2000","114670","5","0.0000","60.85","12.17","1","0.2375","0","0.0000","0.00","0.0000","572"
"B0G4LQ62YL-CRM-HP-2606sdw-Black","","","Eligible","973.34","16.17","0.5714","4064","7","0.0017","60.18","8.60","4","0.0618","3","0.7500","727.62","0.7475","1064"
"B0FTM43TZ6-CRM-PR-4826-MG3070S-Grey","","","Eligible","733.33","12.21","0.4286","3715","7","0.0019","60.06","8.58","3","0.0819","2","0.6667","490.47","0.6688","247"
"B0BQMTZ1KM-CRM_AP_GREEN_PACK OF 2","","","Eligible","721.90","12.13","0.3333","2965","6","0.0020","59.50","9.92","2","0.0824","0","0.0000","0.00","0.0000","59"
"B0FW516TLK-CRM-BR-T820DW-Grey","","","Eligible","246.67","4.21","0.0769","3662","13","0.0035","58.64","4.51","1","0.2377","1","1.0000","246.67","1.0000","371"
"B0BQMY39JW-CRM_AP_BLACK_PACK OF 3","","","Eligible","0.00","0.00","0.0000","1136","6","0.0053","51.65","8.61","0","0.0000","0","0.0000","0.00","0.0000","173"
"B0DKSPVH4D-CRM-HP-4826-4929-Black","","","Eligible","784.76","16.41","0.5000","2427","6","0.0025","47.82","7.97","3","0.0609","1","0.3333","270.48","0.3447","155"
"B0CQCP88HF-CRM-HP-M126-M136nw-Grey","","","Eligible","491.43","10.53","0.2222","3567","9","0.0025","46.69","5.19","2","0.0950","2","1.0000","491.43","1.0000","843"
"B0F4XQ6NSJ-CRM-Canon-TS207-Grey","","","Eligible","1707.60","43.88","0.8750","2699","8","0.0030","38.92","4.86","7","0.0228","6","0.8571","1461.89","0.8561","829"
"B0CTTM35F1-CRM-HP-525-Black","","","Eligible","478.09","13.95","0.4000","21727","5","0.0002","34.26","6.85","2","0.0717","2","1.0000","478.09","1.0000","681"
"B0CTFB2GWV-CRM-EP-L3110-NW-BLACK","","","Eligible","468.57","18.28","0.6667","1236","3","0.0024","25.63","8.54","2","0.0547","2","1.0000","468.57","1.0000","436"
"B0DM1GM4RV-CRM-BR-580-T226-NW-BLACK","","","Eligible","245.71","12.91","0.2500","3191","4","0.0013","19.03","4.76","1","0.0774","0","0.0000","0.00","0.0000","113"
"B0GQ98S46L-CRM-WO1-Blue-5Q","","","Eligible","0.00","0.00","0.0000","387","2","0.0052","11.07","5.54","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GRMPF9PF-CRM-Trolley Cover-28-Inch","","","Eligible","0.00","0.00","0.0000","90","2","0.0222","9.77","4.88","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GQZKMJGK-CRM-Trolley Cover-24-Inch","","","Eligible","0.00","0.00","0.0000","164","1","0.0061","5.92","5.92","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DLW8V1C8-CRM-BR-L2321D-L2440DW-BLUE","","","Eligible","0.00","0.00","0.0000","466","1","0.0021","5.86","5.86","0","0.0000","0","0.0000","0.00","0.0000","117"
"B0CV3M59HH-CRM-WG-NW-Bajaj-Grey","","","Eligible","0.00","0.00","0.0000","229","0","0.0000","0.84","0.00","0","0.0000","0","0.0000","0.00","0.0000","49"
"B00AZJ87ZG-DR-015X-5VGE","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FWTPBJ-Nv02","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FX3QKV-Nv03","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FXFBYG-Nv05","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv07","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv31","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GGFL45-Nv06","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Mini Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Nv09","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv08","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv2151","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv29","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GPMM4G-Nv70","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JCX3M6-Nv15","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075JDBGV2-Nv14","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786FH1VH-Nv43","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0786JB2RD-Nv45","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HCXPMQ-Nv55","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078HXNG24-Nv58","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078J36Z1M-Nv57","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Jmax Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv64","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078NYMVH9-Nv78","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SRD2T1-Nv68","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078STXP6F-Nv67","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVBFCY-Nv69","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078SVF664-Nv66","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Air2 Rc Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCRMYG-Nv72","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv231","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078TCSFJV-Nv73","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B078THLTYM-Nv74","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv77","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Nv82","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0792F13F4-Tab E Black","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv204","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv79","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079G1YNVG-Nv80","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079L7DRZH-Nv81","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B079P2992V-Nv84","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
