"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0CH112ZPG-CRM_AP_GREEN","","","","4268.52","9.82","0.1818","21077","55","0.0026","434.49","7.90","10","0.1018","0","0.0000","0.00","0.0000","301"
"B0CQCBB5LV-CRM-HP-750-Grey","","","","2960.04","10.45","0.2222","19763","54","0.0027","283.27","5.25","12","0.0957","4","0.3333","986.68","0.3333","1545"
"B0CQ8KNQMG-CRM-HP-580-Black","","","","2974.32","7.37","0.2308","12088","52","0.0043","403.30","7.76","12","0.1356","6","0.5000","1494.30","0.5024","1265"
"B0CTMJ1GV9-CRM-DC-TS-NW-GREY-2Q","","","","2070.48","8.73","0.1277","22857","47","0.0021","237.12","5.05","6","0.1145","0","0.0000","0.00","0.0000","0"
"B0CTMJD3KP-CRM-DC-TS-NW-BLACK-2Q","","","","1756.19","6.24","0.1277","18778","47","0.0025","281.32","5.99","6","0.1602","0","0.0000","0.00","0.0000","0"
"B0CTTK9CDY-CRM-HP-525-Grey","","","","2948.60","8.21","0.2889","10427","45","0.0043","358.94","7.98","13","0.1217","1","0.0769","235.24","0.0798","786"
"B0CH3JHFC4-CRM_NW_BLACK_DC_PACK OF 5","","","","1236.20","4.11","0.0476","8884","42","0.0047","300.69","7.16","2","0.2432","0","0.0000","0.00","0.0000","0"
"B0BQMX8QHL-CRM_AP_GREY_PACK OF 2","","","","940.00","2.23","0.0750","10380","40","0.0039","420.59","10.51","3","0.4474","0","0.0000","0.00","0.0000","314"
"B0BF59CVGV-Apron_Blue","","","","1897.12","5.60","0.1795","10979","39","0.0036","338.83","8.69","7","0.1786","0","0.0000","0.00","0.0000","313"
"B0DM1PCFD9-CRM-BR-580-T226-NW-GREY","","","","1010.49","5.30","0.1026","5440","39","0.0072","190.54","4.89","4","0.1886","1","0.2500","270.48","0.2677","316"
"B0BFB324WC-Bajaj_1","","","","474.28","4.26","0.0571","6581","35","0.0053","111.23","3.18","2","0.2345","0","0.0000","0.00","0.0000","0"
"B0DVPHGLM3-CRM-PR-G4770-NW-BLACK","","","","1233.35","6.22","0.1429","8793","35","0.0040","198.42","5.67","5","0.1609","2","0.4000","493.34","0.4000","450"
"B0CTFBJR4V-CRM-EP-L3110-NW-GREY","","","","1480.02","6.63","0.1765","8312","34","0.0041","223.28","6.57","6","0.1509","0","0.0000","0.00","0.0000","536"
"B0F9NZ1J2K-CRM-SC-BLACK-TS-4Q","","","","0.00","0.00","0.0000","48396","34","0.0007","147.97","4.35","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0G3GQX5J7-CRM-TS-STB-PACK-6","","","","0.00","0.00","0.0000","7412","32","0.0043","246.16","7.69","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GGHTFH61-CRM-AFC-PH-NA120-4.2L-GREY_1","","","","0.00","0.00","0.0000","5566","32","0.0057","238.02","7.44","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BQMY6L2B-CRM_AP_BLUE_PACK OF 2","","","","626.67","2.36","0.0645","8592","31","0.0036","265.34","8.56","2","0.4234","0","0.0000","0.00","0.0000","367"
"B0BQMTZ1KM-CRM_AP_GREEN_PACK OF 2","","","","683.81","2.74","0.0714","6360","28","0.0044","249.14","8.90","2","0.3643","0","0.0000","0.00","0.0000","163"
"B0BQMZGXJ4-CRM_AP_BLUE_PACK OF 3","","","","0.00","0.00","0.0000","5285","26","0.0049","195.71","7.53","0","0.0000","0","0.0000","0.00","0.0000","169"
"B0F4XQ6NSJ-CRM-Canon-TS207-Grey","","","","2239.07","27.68","0.3750","6111","24","0.0039","80.90","3.37","9","0.0361","7","0.7778","1726.69","0.7712","866"
"B0CQC5BJQ2-CRM-HP-670-Grey","","","","1480.01","9.11","0.2609","5763","23","0.0040","162.53","7.07","6","0.1098","2","0.3333","493.33","0.3333","957"
"B0DN9NPSCX-CRM-PR-4826-E477-BLACK","","","","493.34","3.39","0.0870","10177","23","0.0023","145.38","6.32","2","0.2947","1","0.5000","246.67","0.5000","748"
"B0BF5VTWVT-Apron_Grey","","","","711.42","4.03","0.1429","9521","21","0.0022","176.43","8.40","3","0.2480","0","0.0000","0.00","0.0000","297"
"B0BQMV2D6H-CRM_AP_RED_PACK OF 2","","","","313.33","1.85","0.0476","9479","21","0.0022","169.64","8.08","1","0.5414","0","0.0000","0.00","0.0000","386"
"B0BF59NWBQ-Apron_Red","","","","0.00","0.00","0.0000","5293","19","0.0036","154.79","8.15","0","0.0000","0","0.0000","0.00","0.0000","39"
"B0CTFB2GWV-CRM-EP-L3110-NW-BLACK","","","","986.68","7.82","0.2222","4404","18","0.0041","126.16","7.01","4","0.1279","1","0.2500","246.67","0.2500","239"
"B0G4CH2NLK-CRM_CTSP1_Grey_3Q","","","","337.29","3.80","0.0625","2224","16","0.0072","88.67","5.54","1","0.2629","0","0.0000","0.00","0.0000","0"
"B0CH3F8952-CRM_NW_GREY_DC_PACK OF 2","","","","911.43","9.38","0.2000","4550","15","0.0033","97.16","6.48","3","0.1066","0","0.0000","0.00","0.0000","0"
"B0DVPQ48NW-CRM-PR-G4770-NW-GREY","","","","763.82","12.39","0.2000","7754","15","0.0019","61.65","4.11","3","0.0807","1","0.3333","246.67","0.3229","167"
"B0BFB324WC-Bajaj_2","","","","237.14","5.88","0.0769","2522","13","0.0052","40.35","3.10","1","0.1702","0","0.0000","0.00","0.0000","0"
"B0BQMXRGYR-CRM_AP_GREEN_PACK OF 3","","","","893.34","8.17","0.1538","1991","13","0.0065","109.35","8.41","2","0.1224","0","0.0000","0.00","0.0000","52"
"B0CY834BP1-CRM-HP-4826-Grey-1","","","","517.14","7.68","0.1667","7603","12","0.0016","67.35","5.61","2","0.1302","0","0.0000","0.00","0.0000","283"
"B0BQMYFYKL-CRM_AP_BROWN_PACK OF 3","","","","3573.36","47.91","0.6364","2717","11","0.0040","74.58","6.78","7","0.0209","0","0.0000","0.00","0.0000","86"
"B0CQC2FSMM-CRM-HP-750-Black","","","","740.01","15.68","0.3333","5522","9","0.0016","47.21","5.25","3","0.0638","2","0.6667","493.34","0.6667","225"
"B0CQCP88HF-CRM-HP-M126-M136nw-Grey","","","","0.00","0.00","0.0000","2814","9","0.0032","42.45","4.72","0","0.0000","0","0.0000","0.00","0.0000","116"
"B0DKSPVH4D-CRM-HP-4826-4929-Black","","","","246.67","4.83","0.1111","3732","9","0.0024","51.10","5.68","1","0.2072","1","1.0000","246.67","1.0000","103"
"B0GK9BZV9D-CRM-PR-G4770-4123-Grey","","","","786.67","18.95","0.3333","1992","9","0.0045","41.51","4.61","3","0.0528","2","0.6667","516.19","0.6562","353"
"B0GK9DR68D-CRM-PR-670-G3780-GREY","","","","540.96","14.57","0.2222","5562","9","0.0016","37.14","4.13","2","0.0687","0","0.0000","0.00","0.0000","103"
"B0GPF39X1W-CRM-STB-MT-BLUE-PACK-2","","","","0.00","0.00","0.0000","4264","9","0.0021","123.95","13.77","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BQMXG193-CRM_AP_RED_PACK OF 3","","","","0.00","0.00","0.0000","1109","7","0.0063","61.53","8.79","0","0.0000","0","0.0000","0.00","0.0000","12"
"B0BQMY39JW-CRM_AP_BLACK_PACK OF 3","","","","313.33","5.37","0.1429","1360","7","0.0051","58.35","8.34","1","0.1862","0","0.0000","0.00","0.0000","85"
"B0F1YVR6CZ-CRM-EP-L3252-NW-GREY-1","","","","1257.16","39.40","0.5714","3157","7","0.0022","31.91","4.56","4","0.0254","3","0.7500","986.68","0.7848","577"
"B0FTM35K6D-CRM-PR-4826-MG3070S-Black","","","","246.67","6.55","0.1429","3544","7","0.0020","37.65","5.38","1","0.1526","0","0.0000","0.00","0.0000","61"
"B0CQC8R7PD-CRM-HP-670-Black","","","","246.67","8.95","0.2000","2467","5","0.0020","27.55","5.51","1","0.1117","0","0.0000","0.00","0.0000","0"
"B0G4LQ62YL-CRM-HP-2606sdw-Black","","","","0.00","0.00","0.0000","2091","5","0.0024","29.81","5.96","0","0.0000","0","0.0000","0.00","0.0000","874"
"B0FTM43TZ6-CRM-PR-4826-MG3070S-Grey","","","","246.67","11.04","0.2500","1910","4","0.0021","22.34","5.58","1","0.0905","0","0.0000","0.00","0.0000","72"
"B0GQ34VLVM-CRM-PR-G4780-GREY","","","","0.00","0.00","0.0000","1528","4","0.0026","17.61","4.40","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DM1GM4RV-CRM-BR-580-T226-NW-BLACK","","","","246.67","19.06","0.5000","1864","2","0.0011","12.94","6.47","1","0.0525","0","0.0000","0.00","0.0000","117"
"B0GQ35R1CV-CRM-BR-L2321D-GREY","","","","0.00","0.00","0.0000","127","2","0.0157","9.66","4.83","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DK9C4LR2-CRM-EP-L3252-NW-GREY","","","","0.00","0.00","0.0000","474","1","0.0021","7.24","7.24","0","0.0000","0","0.0000","0.00","0.0000","201"
"B0DLWR2DWQ-CRM-HP-670-720-GREY","","","","246.67","23.29","1.0000","1230","1","0.0008","10.59","10.59","1","0.0429","1","1.0000","246.67","1.0000","318"
"B0GQ98S46L-CRM-WO1-Blue-5Q","","","","0.00","0.00","0.0000","348","1","0.0029","6.84","6.84","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GQGPMQ4V-CRM-CSTB1-Black-2Q","","","","0.00","0.00","0.0000","852","1","0.0012","9.95","9.95","0","0.0000","0","0.0000","0.00","0.0000","0"
"B00AZJ87ZG-DR-015X-5VGE","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FWTPBJ-Nv02","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FX3QKV-Nv03","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075FXFBYG-Nv05","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv07","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GDNGZY-Nv31","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GGFL45-Nv06","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Mini Black","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B075GNTLL8-Nv09","","","","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
