"Products","Status","Type","Sponsored Products eligibility","Sales(INR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(INR)","CPC(INR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(INR)","% of sales NTB","Viewable impressions"
"B0F91CY6LW-CRM-WG-NW-Ultra-Grind+-Black","","","","4590.49","14.01","0.2111","11106","90","0.0081","327.62","3.64","19","0.0714","1","0.0526","236.19","0.0515","1187"
"B0DKP64DPR-CRM-HP-4826-4929-Grey","","","","2795.24","8.71","0.2340","10760","47","0.0044","320.87","6.83","11","0.1148","7","0.6364","1801.92","0.6446","1699"
"B0GMWCRQ2M-CRM-CSTB1-Black-5Q","","","","0.00","0.00","0.0000","6723","39","0.0058","313.01","8.03","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CV47TJPR-CRM-WG-NW-Ultra-Black","","","","1213.34","4.00","0.0943","7854","53","0.0067","303.70","5.73","5","0.2503","0","0.0000","0.00","0.0000","193"
"B0GGHTFH61-CRM-AFC-PH-NA120-4.2L-GREY_1","","","","237.14","0.79","0.0222","8851","45","0.0051","299.92","6.66","1","1.2647","0","0.0000","0.00","0.0000","0"
"B0BQMV2D6H-CRM_AP_RED_PACK OF 2","","","","2561.90","9.00","0.2000","13011","30","0.0023","284.72","9.49","6","0.1111","1","0.1667","643.80","0.2513","339"
"B0BQMTZ1KM-CRM_AP_GREEN_PACK OF 2","","","","2848.56","10.38","0.3103","10224","29","0.0028","274.31","9.46","9","0.0963","0","0.0000","0.00","0.0000","227"
"B0CH112ZPG-CRM_AP_GREEN","","","","3118.06","11.58","0.2414","13863","29","0.0021","269.27","9.29","7","0.0864","1","0.1429","737.13","0.2364","591"
"B0C9X4MBQ3-CP-BLACK-1","","","","512.38","1.97","0.0588","4668","34","0.0073","260.06","7.65","2","0.5076","0","0.0000","0.00","0.0000","0"
"B0DKTH64QZ-CRM-PR-670-G3770-GREY","","","","2520.96","10.14","0.2500","6248","40","0.0064","248.50","6.21","10","0.0986","0","0.0000","0.00","0.0000","103"
"B0BQMZKF2K-CRM_AP_TEN _PACK OF 3","","","","2745.73","11.77","0.2414","7849","29","0.0037","233.23","8.04","7","0.0849","0","0.0000","0.00","0.0000","513"
"B0BFB31MWV-Ultra_1","","","","1941.92","8.60","0.1212","20795","66","0.0032","225.86","3.42","8","0.1163","1","0.1250","246.67","0.1270","376"
"B0BQMY6L2B-CRM_AP_BLUE_PACK OF 2","","","","0.00","0.00","0.0000","12729","22","0.0017","217.66","9.89","0","0.0000","0","0.0000","0.00","0.0000","435"
"B0BF59NWBQ-Apron_Red","","","","1893.42","9.35","0.1250","7814","24","0.0031","202.54","8.44","3","0.1070","0","0.0000","0.00","0.0000","201"
"B0GQMTMYK5-CRM-STB-FT-BLUE-PACK-2","","","","0.00","0.00","0.0000","11371","25","0.0022","169.87","6.79","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DVPHGLM3-CRM-PR-G4770-NW-BLACK","","","","1755.25","10.37","0.2188","5675","32","0.0056","169.34","5.29","7","0.0965","0","0.0000","0.00","0.0000","362"
"B0CQC5BJQ2-CRM-HP-670-Grey","","","","3464.74","21.68","0.5833","8286","24","0.0029","159.80","6.66","14","0.0461","10","0.7143","2459.02","0.7097","3723"
"B0DN9NPSCX-CRM-PR-4826-E477-BLACK","","","","1241.91","8.41","0.2273","8143","22","0.0027","147.71","6.71","5","0.1189","2","0.4000","492.38","0.3965","478"
"B0CH3F8952-CRM_NW_GREY_DC_PACK OF 2","","","","2990.48","22.58","0.2778","7635","18","0.0024","132.44","7.36","5","0.0443","0","0.0000","0.00","0.0000","0"
"B0BQMXG193-CRM_AP_RED_PACK OF 3","","","","446.67","3.74","0.0667","1651","15","0.0091","119.44","7.96","1","0.2674","0","0.0000","0.00","0.0000","157"
"B0BQMXRGYR-CRM_AP_GREEN_PACK OF 3","","","","0.00","0.00","0.0000","2440","14","0.0057","112.22","8.02","0","0.0000","0","0.0000","0.00","0.0000","185"
"B0GK9DR68D-CRM-PR-670-G3780-GREY","","","","1314.29","11.98","0.2500","5367","20","0.0037","109.73","5.49","5","0.0835","1","0.2000","246.66","0.1877","381"
"B0CY834BP1-CRM-HP-4826-Grey-1","","","","1516.18","15.31","0.2857","8572","21","0.0024","99.01","4.71","6","0.0653","1","0.1667","245.71","0.1621","2352"
"B0CQC2FSMM-CRM-HP-750-Black","","","","747.62","7.59","0.1304","7322","23","0.0031","98.46","4.28","3","0.1317","1","0.3333","245.72","0.3287","1564"
"B0GR94RKK3-CRM-EP-L8050-Grey","","","","768.57","7.81","0.1034","3979","29","0.0073","98.36","3.39","3","0.1280","0","0.0000","0.00","0.0000","0"
"B0F9NZ1J2K-CRM-SC-BLACK-TS-4Q","","","","0.00","0.00","0.0000","1369","21","0.0153","97.16","4.63","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CQC8R7PD-CRM-HP-670-Black","","","","256.19","2.64","0.0833","8921","12","0.0013","97.10","8.09","1","0.3790","0","0.0000","0.00","0.0000","0"
"B0BF5VTWVT-Apron_Grey","","","","1139.04","11.87","0.0909","5640","11","0.0020","95.98","8.73","1","0.0843","0","0.0000","0.00","0.0000","362"
"B0DVPQ48NW-CRM-PR-G4770-NW-GREY","","","","246.67","3.04","0.0714","6953","14","0.0020","81.04","5.79","1","0.3285","1","1.0000","246.67","1.0000","843"
"B0GQMQ52K3-CRM-STB-MT-BLUE-PACK-5","","","","0.00","0.00","0.0000","2552","5","0.0020","71.16","14.23","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0GQZS7KFP-CRM-Trolley Cover-20-Inch","","","","0.00","0.00","0.0000","1888","5","0.0026","70.54","14.11","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0FTM43TZ6-CRM-PR-4826-MG3070S-Grey","","","","256.19","3.80","0.0909","3119","11","0.0035","67.40","6.13","1","0.2631","0","0.0000","0.00","0.0000","52"
"B0FTM35K6D-CRM-PR-4826-MG3070S-Black","","","","0.00","0.00","0.0000","3022","12","0.0040","64.90","5.41","0","0.0000","0","0.0000","0.00","0.0000","30"
"B0CTFB2GWV-CRM-EP-L3110-NW-BLACK","","","","0.00","0.00","0.0000","6956","14","0.0020","61.84","4.42","0","0.0000","0","0.0000","0.00","0.0000","3866"
"B0CQCP88HF-CRM-HP-M126-M136nw-Grey","","","","0.00","0.00","0.0000","2600","11","0.0042","60.62","5.51","0","0.0000","0","0.0000","0.00","0.0000","423"
"B0F4XQ6NSJ-CRM-Canon-TS207-Grey","","","","1005.71","16.60","0.2500","4380","16","0.0037","60.59","3.79","4","0.0602","3","0.7500","768.57","0.7642","783"
"B0GQML2S98-CRM-STB-FT-BLUE-PACK-5","","","","0.00","0.00","0.0000","6085","9","0.0015","58.69","6.52","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BQMYFYKL-CRM_AP_BROWN_PACK OF 3","","","","893.34","18.80","0.3333","2784","6","0.0022","47.51","7.92","2","0.0532","0","0.0000","0.00","0.0000","130"
"B0GK9BZV9D-CRM-PR-G4770-4123-Grey","","","","256.19","5.76","0.1429","1621","7","0.0043","44.50","6.36","1","0.1737","1","1.0000","256.19","1.0000","255"
