"asin","fnsku","product-name","fulfillment-center","country-code","longest-side","median-side","shortest-side","measurement-units","weight","weight-units","item-volume","volume-units","average-quantity-on-hand","average-quantity-pending-removal","estimated-total-item-volume","month-of-charge","storage-rate","currency","estimated-monthly-storage-fee","average-quantity-customer-orders"
"B0BQMX8QHL","X001OW36S9","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Grey Pack of 2)","AMD2","IN","17.30","14.71","4.80","centimeter","0.28","kilograms","0.0012","cubic meter","3.87","0.0","0.0047","2026-03","2083.88","INR","9.8427","0.0"
"B0BQMX8QHL","X001OW36S9","CRASOME Apron for Kitchen | Unisex Cooking Apron with 2 Pockets and Adjustable Straps | Apron for Chef, Hotel, Cafe, Restaurant, Gardening, Workshop (Grey Pack of 2)","BLR5","IN","17.30","14.71","4.80","centimeter","0.28","kilograms","0.0012","cubic meter","0.06","0.0","0.0001","2026-03","2083.88","INR","0.1534","0.0"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","BLR8","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","1.0","0.0","0.0009","2026-03","2083.88","INR","1.8942","0.0"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","HYD8","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","3.16","0.0","0.0028","2026-03","2083.88","INR","5.9304","0.03"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","DEL5","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","1.35","0.0","0.0012","2026-03","2083.88","INR","2.5551","0.0"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","BLR4","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","0.68","0.0","0.0006","2026-03","2083.88","INR","1.2864","0.0"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","BOM5","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","3.77","0.0","0.0034","2026-03","2083.88","INR","7.087","0.03"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","BLR7","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","1.23","0.0","0.0011","2026-03","2083.88","INR","2.3308","0.0"
"B0CQCP88HF","X001XAXIJ9","Crasome Dust & Water Proof Printer Cover for HP LaserJet Pro MFP M126nw (Grey)","AMD2","IN","15.60","11.89","4.90","centimeter","0.11","kilograms","0.0009","cubic meter","0.42","0.0","0.0004","2026-03","2083.88","INR","0.7376","0.03"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","HYD8","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","0.52","0.35","0.0002","2026-03","2083.88","INR","0.3541","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","BOM7","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","0.48","0.0","0.0005","2026-03","2083.88","INR","0.9913","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","BLR4","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","8.13","0.0","0.0081","2026-03","2083.88","INR","16.7939","0.0"
"B0F4XRS6NR","X002ACHJ6H","Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey)","DED4","IN","15.20","14.50","4.50","centimeter","0.11","kilograms","0.0010","cubic meter","0.52","0.0","0.0005","2026-03","2083.88","INR","1.0739","0.0"
